"date","crdt","r","kim","survey_COF","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8","survey_9","survey_11","survey_12","survey_14","survey_15","season_jan","season_feb","season_mar","season_apr","season_may","season_jun","season_jul","season_aug","season_sep","season_oct","season_nov","season_dec"
2019-02-01,1465,1.82,0,-1.3,0.1,6.1,13.1,0.8,26,32.2,-0.8,15.6,-12.3,20.3,31.4,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
2019-03-01,1695,1.79,0,-1.2,-1,5.5,12.8,1.8,24.1,28.5,0.9,22.4,-11.3,19.5,29.5,-79.4,-24.7,0,0,1,0,0,0,0,0,0,0,0,0
2019-04-01,1807,1.76,0,-2.8,-0.2,3.3,11.6,-2.1,22.5,29.4,4.4,19.5,-12.3,26.3,29.3,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0
2019-05-01,1829,1.71,0,0.7,4.2,9.9,11.8,-0.6,22.9,31.8,6.9,19.5,-10.5,26.4,30,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0
2019-06-01,1594,1.68,0,-3.8,3.4,4.2,13.4,-7,19.9,28.2,6.9,17.1,-15.7,25.3,27.7,-82.6,-25.4,0,0,0,0,0,1,0,0,0,0,0,0
2019-07-01,1881,1.65,0,-4.1,2.1,5.6,5.8,-8,18.3,29.3,8.3,14.9,-16.2,21.2,28.1,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0
2019-08-01,1613,1.6,0,-2.1,3.9,6.3,5.3,-4,16.6,29.2,9.9,25.3,-14.5,18.1,25.3,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0
2019-09-01,1843,1.52,0,-3.6,4.3,6.7,3.4,-9.3,15.1,28.3,12.8,21.7,-16.1,20.7,25.9,-81.9,-26.5,0,0,0,0,0,0,0,0,1,0,0,0
2019-10-01,2198,1.42,0,-3.1,2.6,9.4,0.5,-7.2,15.7,29.4,15.8,20.9,-17.2,16.9,25.3,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0
2019-11-01,1969,1.39,0,-3.7,2.5,7.5,-3.2,-8.9,12.5,30.2,17.2,17.8,-16,18.6,27.2,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-01,2150,1.41,0,-2.6,3.8,8.2,-2.7,-8.8,15.8,30.6,18.7,19.7,-13.9,15.8,26,-80.3,-24.1,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2014,1.38,0,-2.1,3.5,7,1,-6.1,16,31.1,16.5,16.5,-12.8,15.7,28.4,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,2008,1.37,0,-2.2,3.3,6.2,1.2,-7.3,14.4,29.1,17.3,19.6,-10.9,17.5,27.6,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-01,2069,1.29,0,-8.1,2.9,4.3,-5.4,-21.2,14.5,31,25.7,8.5,-18.2,21.6,28.2,-75.1,-25.3,0,0,1,0,0,0,0,0,0,0,0,0
2020-04-01,1994,1.28,0,-20.7,2.7,-11.5,-16.3,-48.3,3.2,37,51.8,-17,-25.8,22.7,29.9,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-01,2007,1.3,0,-14.3,-4.3,-3.1,-51.1,-29.6,-2.5,31.3,21.6,-5.2,-20.2,20.8,29,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0
2020-06-01,2045,1.3,0,-8.2,-4.8,0,-56.5,-14.4,-1.1,25.9,3.8,5,-13.5,25.2,29.3,-80.8,-41.6,0,0,0,0,0,1,0,0,0,0,0,0
2020-07-01,2568,1.29,0,-10.3,-10.2,2.8,-54.2,-16.5,0.6,21.8,11.9,2.7,-17.5,22.8,27.4,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0
2020-08-01,2228,1.27,0,-10.2,-5.3,-1.6,-61.9,-18.4,3.8,23.5,23,9.6,-15.3,25.1,31.5,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0
2020-09-01,2338,1.26,0,-5.9,-2.6,3.3,-59.7,-10.6,5,24.4,20.8,9.5,-13.5,22.6,29.4,-78,-26.6,0,0,0,0,0,0,0,0,1,0,0,0
2020-10-01,2364,1.23,0,-11.6,-4.6,0.1,-67.6,-31.7,5.6,24.7,46.8,4.4,-10.3,26.6,28.9,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0
2020-11-01,2285,1.21,0,-15.7,-6.2,-4.2,-68.8,-33.5,-0.3,25,51.1,7.1,-18.8,24.7,29.1,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0
2020-12-01,2201,1.18,0,-10,-6.9,0.5,-68.5,-18.7,-0.2,28.2,34.1,8.1,-14.8,29.2,31.8,-81.5,-27,0,0,0,0,0,0,0,0,0,0,0,1
2021-01-01,1989,1.19,0,-11.3,-9.4,1.7,-70.9,-24.6,1.5,30.9,35.7,0.5,-12.8,24.1,29.5,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,2233,1.13,0,-9.2,-6.7,-0.1,-71.9,-19.8,0.5,32.5,25.5,10.2,-10.1,25.6,31.5,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
2021-03-01,3020,1.12,0,-4.5,-6.6,5.2,-67.5,-11.8,-0.3,33.7,11.5,15.5,-5,28.2,33.6,-75.8,-29,0,0,1,0,0,0,0,0,0,0,0,0
2021-04-01,2645,1.16,0,-10.5,-10.7,2.7,-68,-20.1,12.7,37.8,14.7,8.5,-13.8,25.6,27.1,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0
2021-05-01,2430,1.16,0,-1.2,-4.5,3.8,-59.5,7.6,30.2,45.6,-9.8,11.5,-11.9,26.1,34,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0
2021-06-01,2640,1.17,0,-1,-7.5,6.1,-52.3,13.3,36.1,44.6,-11.2,5.5,-16,18.2,28.6,-75.4,-23.3,0,0,0,0,0,1,0,0,0,0,0,0
2021-07-01,2494,1.18,0,0,-5.4,5.4,-43.6,11.7,42.4,43.1,-11,-0.4,-11.6,24.6,29.6,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0
2021-08-01,2169,1.17,0,0,-0.7,5,-28.8,9.6,45.5,46.2,-8.2,-0.5,-13.8,21.6,28.8,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0
2021-09-01,2183,1.18,0,-2.8,-3,3.2,-24.9,4.2,51.5,46.3,-4.1,-4.9,-15.6,19.9,30.4,-75.8,-27.7,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-01,2104,1.16,0,-2.3,-2,1.9,-11,6.8,57.9,50.9,-4.4,-2.9,-16.2,19.3,29.6,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0
2021-11-01,2293,1.17,0,-5.9,-3.6,-1.7,-13.9,-2.2,65.5,48.1,3.4,-9.6,-16.2,18.6,32,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-01,2217,1.17,0,-9.8,-6.3,-1.3,-37.3,-12,63.5,43.5,11.4,-12.4,-19.8,16.5,28.4,-75.9,-26.2,0,0,0,0,0,0,0,0,0,0,0,1
2022-01-01,2004,1.15,0,-9.3,-5.3,-3.1,-28.5,-12.3,62.4,43.4,8,-8.4,-16.4,18.3,31.1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,2431,1.2,0,-7.9,-6.9,-2.8,-26.2,-3.7,71.8,43.8,-1.2,-8.1,-18.3,19.9,29.2,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
2022-03-01,3106,1.25,0,-22.4,-10.7,-17,-33,-39,71.8,67.3,20,-20.4,-23,16.6,27.1,-76,-26,0,0,1,0,0,0,0,0,0,0,0,0
2022-04-01,2702,1.36,0,-21.1,-10,-14.6,-36.1,-36.9,74.1,59.4,18.7,-17,-22.7,17.6,29.1,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0
2022-05-01,2713,1.52,0,-24.5,-15.1,-20,-39.1,-40.5,76.3,58.9,21.3,-20.1,-22.4,13.5,25.5,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0
2022-06-01,2603,1.67,0,-25.2,-18.7,-18.9,-40.8,-37.5,79.7,46.3,13.3,-27.9,-25.8,16.2,26,-76.1,-32.6,0,0,0,0,0,1,0,0,0,0,0,0
2022-07-01,2842,1.79,0,-34.2,-23.6,-26.3,-47.3,-50.7,80.8,50.6,23.2,-30.2,-36.1,13.8,23,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0
2022-08-01,1375,2.08,1,-31.4,-23.7,-25.8,-45.8,-43.1,82.5,47.9,18.1,-35.9,-33.2,17.5,25.6,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0
2022-09-01,1457,2.26,1,-32.2,-21.6,-27.7,-49.4,-47.9,80.5,47.9,26.7,-30.8,-31.8,17.9,25.6,-83,-42.6,0,0,0,0,0,0,0,0,1,0,0,0
2022-10-01,1265,2.72,1,-30.6,-21.8,-26.2,-43.3,-43.4,80.1,46.8,25.9,-35.8,-31,15.9,24.1,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0
2022-11-01,1181,3.11,1,-29,-23.2,-21.3,-46.9,-40.3,79,40.9,20.3,-35.4,-31.3,16.4,23.1,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0
2022-12-01,1100,3.32,1,-29,-26,-21.8,-45.2,-33.9,80.1,33,15,-33.9,-34.3,18.1,24.2,-78.5,-38.5,0,0,0,0,0,0,0,0,0,0,0,1
2023-01-01,800,3.5,1,-24.6,-22.4,-14.5,-42.5,-29,82.3,26,10.3,-31.9,-32.6,23.9,28.2,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,774,3.73,1,-23.5,-22.7,-14.8,-41.9,-24.7,80.7,21.5,11.7,-39.8,-31.7,21.8,25.4,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
2023-03-01,1146,3.77,1,-23.4,-24.2,-13,-39.6,-24.5,84.6,19.6,13.2,-36.3,-31.9,20.1,22,-82,-37.1,0,0,1,0,0,0,0,0,0,0,0,0
2023-04-01,880,3.97,1,-23.6,-22.5,-13.2,-43.9,-27.6,81.6,19.4,15.4,-38.8,-31.3,20.7,25.3,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0
2023-05-01,956,4.07,1,-24.6,-23.9,-13.7,-44.3,-27.7,79.6,20.6,22.5,-41.3,-33.1,21.3,24.1,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0
2023-06-01,1160,4.04,1,-22.3,-20.6,-10,-42.2,-28.3,76.4,15.8,28.1,-42.3,-30.5,19.6,25.5,-80.3,-36.5,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-01,885,4.23,1,-21,-19.1,-9.2,-37.7,-24,74.6,11,26.9,-37,-31.7,21.6,26.2,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0
2023-08-01,854,4.25,1,-22.1,-21.1,-8.6,-46.7,-27.8,77.8,16.4,30.1,-38.8,-31,20.5,22.6,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0
2023-09-01,920,3.87,1,-25.1,-21.6,-11.6,-47.9,-32.2,75.3,17.1,29.2,-35.5,-35,19.3,22.2,-79.2,-37.3,0,0,0,0,0,0,0,0,1,0,0,0
2023-10-01,949,4.27,1,-23.8,-24,-11.2,-47.9,-29.2,74.6,16.6,33.9,-37.8,-30.7,25.3,22.5,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0
2023-11-01,859,4.34,1,-22,-19.9,-7.1,-50,-28.5,71.1,14.2,29.5,-32.5,-32.6,25.9,22.8,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0
2023-12-01,723,4.31,1,-17.8,-15.1,-1.5,-44.1,-24.3,68.4,19.5,30.3,-33.2,-30.4,23.3,26.6,-81.6,-37.8,0,0,0,0,0,0,0,0,0,0,0,1
2024-01-01,715,4.15,1,-18.7,-14.7,-4.3,-47.5,-26.3,70.5,16.3,33.7,-33.1,-29.7,28.4,27.7,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0
2024-02-01,781,4.01,1,-16.5,-13.3,0,-37.4,-19.3,66.4,12.1,32.9,-34.5,-33.6,29.1,25.1,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
2024-03-01,894,4.01,1,-16.6,-11,-2.7,-41.6,-23.7,64.4,13.5,38.1,-30.6,-29,22.3,26.7,-80.5,-39.9,0,0,1,0,0,0,0,0,0,0,0,0
2024-04-01,970,3.96,1,-13.2,-12.9,0.4,-40.5,-16.8,60,11.5,37.6,-30.4,-23.5,24,26.5,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0
2024-05-01,991,3.93,1,-15.2,-10,-2.8,-36.2,-22.6,55.2,11.1,39.2,-29.5,-25.4,22.2,27.1,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0
2024-06-01,1060,3.93,1,-12.6,-8.6,0.5,-36.8,-19,59.3,11.9,40.2,-22.6,-23.5,28.1,30.1,-79.8,-40.4,0,0,0,0,0,1,0,0,0,0,0,0
2024-07-01,1218,3.93,1,-14.6,-8.3,-1.8,-38,-19.7,56,12,39.2,-24,-28.4,25.9,28.9,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-01,1098,3.84,1,-12.8,-7,0.7,-40.2,-22.6,48.6,12.5,38.1,-29.8,-22.3,25.7,30.1,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0
2024-09-01,980,3.76,1,-13.8,-7.4,-2.8,-39.8,-19.7,48.6,15.6,40.2,-26.5,-25.3,33,27,-81.2,-34.6,0,0,0,0,0,0,0,0,1,0,0,0
2024-10-01,1237,3.67,1,-15.6,-9.2,-2,-44.3,-25.8,45.6,18.3,39.2,-25.2,-25.6,28,30.5,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0
2024-11-01,1001,3.55,1,-18.4,-9.8,-6,-45.4,-29.8,47,22.2,42.1,-25.9,-27.7,28,29.8,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0
2024-12-01,997,3.51,1,-19.1,-8.3,-7.1,-52.7,-34.6,45.1,26,50.2,-23.7,-26.3,32.4,31.1,-79.7,-36.8,0,0,0,0,0,0,0,0,0,0,0,1
2025-01-01,1059,3.4,1,-19.2,-11,-7.7,-53.3,-30.8,50.9,28.9,49.2,-29.3,-27.5,26.6,26.9,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0
2025-02-01,1215,3.4,1,-19,-9.3,-6.8,-49.5,-36.3,49,29.7,49.1,-24.9,-23.7,28.2,27.9,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
2025-03-01,1568,3.39,1,-16.5,-9.5,-6.4,-48.4,-29.7,51.8,30.5,46.4,-25.1,-20.3,32.8,30.1,-78,-39,0,0,1,0,0,0,0,0,0,0,0,0
2025-04-01,1658,3.4,1,-21.3,-8.5,-9.9,-53.2,-37.9,54.6,36.3,48.4,-24.1,-28.9,30.5,31,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0
